AAPL
ABBV
ABT
ACN
ADBE
ADI
ADP
AMAT
AMD
AMGN
AMT
AMZN
AVGO
AXP
BA
BDX
BKNG
BLK
BMY
BRK-B
BSX
C
CAT
CB
CI
CMCSA
COP
COST
CRM
CSCO
CVS
CVX
DE
DHR
DIS
DUK
ELV
ETN
FI
GE
GILD
GOOG
GOOGL
GS
HD
HON
INTC
INTU
ISRG
JNJ
JPM
KO
LIN
LLY
LOW
LRCX
MA
MCD
MDLZ
META
MMC
MO
MRK
MSFT
NEE
NFLX
NKE
NOC
NVDA
ORCL
PEP
PFE
PG
PGR
PLD
PM
PYPL
QCOM
REGN
RTX
SBUX
SCHW
SO
SPGI
SYK
T
TJX
TMO
TSLA
TXN
UNH
UNP
UPS
V
VRTX
VZ
WFC
WMT
XOM
ZTS
